Id,price
27630,18531
26431,15964
24131,12300
16283,6512
26467,16037
19339,8040
20462,8807
27684,18710
22004,10076
25440,14194
17181,6860
27302,17801
22399,10424
25525,14341
27081,17209
26553,16239
26554,16239
26287,15776
25900,15030
26607,16353
24784,13156
23960,12095
23774,11830
25790,14775
27543,18308
24862,13278
27727,18756
25579,14421
26043,15246
26909,16915
27449,18090
25532,14351
26320,15824
27204,17522
14138,5733
27238,17607
26958,17028
23939,12071
25877,14975
26520,16170
26924,16955
27066,17186
26659,16466
26536,16198
26411,15934
27324,17856
26538,16198
22831,10863
26870,16797
27566,18374
26474,16059
26864,16789
26504,16126
25727,14648
19183,7934
22741,10761
26462,16021
24990,13500
26916,16937
26552,16237
27227,17591
26882,16820
26866,16791
26872,16801
24114,12269
27178,17451
14645,5914
27354,17924
26743,16533
27334,17891
26604,16340
26819,16715
26085,15320
27246,17642
27027,17168
24258,12468
26977,17062
26468,16041
26756,16564
26569,16274
25435,14185
26652,16450
24744,13095
26066,15282
22460,10483
27179,17452
27202,17516
26931,16969
27260,17676
22872,10913
26767,16592
27624,18522
24813,13200
24244,12454
25563,14399
27421,18026
26525,16181
27433,18055
25529,14348
26104,15366
26531,16190
25305,13978
17024,6796
25775,14744
25401,14108
26630,16398
26749,16547
25225,13825
25565,14402
27598,18447
26404,15920
27209,17534
24483,12755
27513,18239
26459,16004
25483,14258
25722,14637
25759,14711
27631,18532
27212,17539
26139,15433
24545,12831
27007,17123
27420,18026
26494,16097
27244,17634
24188,12377
20877,9095
17897,7226
23091,11114
27206,17525
24922,13369
23965,12099
16505,6597
21513,9610
21736,9802
19406,8064
26751,16558
27436,18059
27560,18364
25489,14277
27123,17313
15905,6357
26537,16198
25675,14603
26223,15646
26661,16472
26512,16147
25979,15184
24518,12799
26584,16300
27555,18343
24725,13065
27661,18640
19331,8037
27430,18037
25113,13654
26288,15783
25258,13885
26107,15375
25804,14802
20293,8709
24845,13248
24152,12321
26979,17065
24938,13395
27089,17221
25780,14750
25949,15119
23796,11854
26572,16280
15866,6346
26278,15762
24124,12286
25558,14388
26201,15584
27426,18029
24210,12400
27483,18168
25636,14519
25621,14490
27500,18198
26734,16512
25748,14687
19459,8104
26321,15825
25283,13931
26951,17016
26056,15258
24480,12753
27609,18480
24447,12707
24273,12499
25836,14870
25257,13884
24945,13403
25318,13996
22734,10752
24351,12617
11778,5083
27353,17923
25738,14666
26422,15948
27499,18193
25306,13983
26148,15454
26966,17045
24817,13205
27082,17213
24011,12179
26775,16617
25642,14534
27746,18804
25754,14704
25282,13930
26626,16392
27653,18604
26942,17000
25230,13831
25749,14691
24414,12655
27281,17747
19894,8442
24726,13065
26257,15714
24952,13421
25761,14715
27602,18462
25517,14321
25599,14452
25953,15132
26826,16723
27481,18164
26582,16295
26807,16690
26887,16842
26068,15288
23637,11663
26065,15282
23493,11500
25587,14428
25312,13993
26272,15751
17486,7024
22145,10184
22146,10184
23313,11355
25590,14430
26646,16427
27681,18706
25412,14138
25735,14662
26185,15530
26163,15486
26314,15818
23231,11234
26230,15653
27341,17893
23304,11337
27734,18779
27012,17138
25863,14947
26384,15877
27427,18034
27299,17778
27498,18193
27248,17650
27224,17581
24499,12778
24104,12257
24184,12369
26649,16439
17165,6854
24959,13442
15313,6147
27091,17224
27318,17840
26280,15766
26530,16189
27411,18005
26972,17051
21631,9727
25876,14973
26994,17095
24475,12743
25943,15109
25239,13849
26312,15814
24213,12401
24086,12229
25018,13554
24859,13275
25961,15145
25800,14792
16785,6686
23861,11954
14912,6002
25904,15035
24837,13233
26813,16704
25976,15172
24966,13460
15319,6150
25607,14477
25639,14527
23821,11886
27593,18440
25181,13767
24316,12565
27474,18139
26437,15974
25058,13574
23860,11951
27233,17600
26069,15291
26838,16742
21784,9853
24969,13464
25166,13744
27627,18526
25402,14111
25666,14581
27478,18152
25892,15017
23697,11764
25805,14803
26505,16128
25514,14308
27308,17811
27615,18493
24614,12940
27320,17849
27645,18572
26334,15841
25594,14444
26902,16900
21138,9296
24355,12618
23287,11312
26639,16412
26499,16111
25895,15025
23066,11096
26115,15393
22391,10416
25076,13597
24345,12612
26962,17038
25552,14383
24190,12377
27184,17469
25284,13933
25193,13786
25254,13879
27479,18153
26889,16857
23693,11757
24957,13437
27392,17952
26918,16942
24155,12332
27459,18115
26920,16945
25086,13609
26794,16650
24456,12717
27748,18818
26993,17094
21926,9999
13562,5554
22140,10179
25016,13553
26382,15874
26329,15837
24310,12554
25123,13675
26927,16957
26419,15942
25204,13800
26144,15450
27665,18659
23334,11379
26143,15446
21781,9850
25844,14900
22539,10577
24488,12762
27442,18069
24425,12677
26983,17068
25993,15214
